id,id2,id3,trial,time,pupil,xcoord
14,3,3,2,-48,0.07233333,886
14,3,3,2,-47,0.00133333,1060
14,3,3,2,-46,-0.03266667,1250
14,3,3,2,-45,-0.01966667,1371
14,3,3,2,-44,-0.02366667,1381
14,3,3,2,-43,-0.06666667,1395
14,3,3,2,-42,-0.00466667,1392
14,3,3,2,-41,0.02833333,1419
14,3,3,2,-40,-0.02466667,1394
14,3,3,2,-39,-0.06966667,1385
14,3,3,2,-38,-0.07366667,1376
14,3,3,2,-37,-0.02266667,1377
14,3,3,2,-36,0.01633333,1392
14,3,3,2,-35,-0.08866667,1364
14,3,3,2,-34,-0.02566667,1386
14,3,3,2,-33,-0.04166667,1397
14,3,3,2,-32,-0.01466667,1370
14,3,3,2,-31,-0.03466667,1382
14,3,3,2,-30,-0.02766667,1400
14,3,3,2,-29,0.00633333,1389
14,3,3,2,-28,-0.14866667,1379
14,3,3,2,-27,-0.04766667,1372
14,3,3,2,-26,-0.02666667,1393
14,3,3,2,-25,,
14,3,3,2,-24,-0.05566667,1394
14,3,3,2,-23,-0.05466667,1318
14,3,3,2,-22,-0.04966667,1272
14,3,3,2,-21,,
14,3,3,2,-20,-0.12766667,1257
14,3,3,2,-19,-0.05866667,1243
14,3,3,2,-18,-0.02666667,1266
14,3,3,2,-17,-0.10166667,1269
14,3,3,2,-16,-0.00866667,1269
14,3,3,2,-15,-0.02866667,1261
14,3,3,2,-14,-0.09766667,1256
14,3,3,2,-13,-0.10066667,1247
14,3,3,2,-12,-0.00066667,1266
14,3,3,2,-11,,
14,3,3,2,-10,-0.01866667,1268
14,3,3,2,-9,-0.02766667,1269
14,3,3,2,-8,-0.02166667,1263
14,3,3,2,-7,-0.02266667,1182
14,3,3,2,-6,0.08733333,933
14,3,3,2,-5,0.12433333,745
14,3,3,2,-4,0.08533333,647
14,3,3,2,-3,0.39633333,234
14,3,3,2,-2,0.56533333,142
14,3,3,2,-1,0.21233333,387
14,3,3,2,0,0.61033333,125
14,3,3,2,1,0.24633333,351
14,3,3,2,2,0.42233333,284
14,3,3,2,3,0.41933333,215
14,3,3,2,4,0.64533333,124
14,3,3,2,5,0.01733333,347
14,3,3,2,6,0.03433333,347
14,3,3,2,7,0.02333333,350
14,3,3,2,8,0.02233333,348
14,3,3,2,9,0.03033333,351
14,3,3,2,10,0.02233333,354
14,3,3,2,11,0.02233333,354
14,3,3,2,12,0.02433333,345
14,3,3,2,13,0.02733333,356
14,3,3,2,14,0.03033333,344
14,3,3,2,15,0.02233333,344
14,3,3,2,16,0.01533333,346
14,3,3,2,17,0.00333333,346
14,3,3,2,18,0.02033333,378
14,3,3,2,19,0.00533333,525
14,3,3,2,20,0.00333333,575
14,3,3,2,21,0.01133333,568
14,3,3,2,22,-0.00666667,564
14,3,3,2,23,-0.00266667,569
14,3,3,2,24,-0.01166667,573
14,3,3,2,25,-0.01566667,578
14,3,3,2,26,0.00233333,573
14,3,3,2,27,-0.01166667,576
14,3,3,2,28,-0.01166667,584
14,3,3,2,29,0.00133333,576
14,3,3,2,30,0.00833333,586
14,3,3,2,31,0.00333333,580
14,3,3,2,32,0.01633333,587
14,3,3,2,33,0.00533333,590
14,3,3,2,34,0.01433333,586
14,3,3,2,35,0.02633333,589
14,3,3,2,36,0.03233333,585
14,3,3,2,37,0.04033333,590
14,3,3,2,38,0.04833333,589
14,3,3,2,39,0.04833333,587
14,3,3,2,40,0.06833333,588
14,3,3,2,41,0.08233333,588
14,3,3,2,42,0.09533333,595
14,3,3,2,43,0.11633333,589
14,3,3,2,44,0.12233333,594
14,3,3,2,45,0.11333333,598
14,3,3,2,46,0.12233333,588
14,3,3,2,47,0.13033333,592
14,3,3,2,48,0.13233333,593
14,3,3,2,49,0.14633333,604
14,3,3,2,50,0.14933333,590
14,3,3,2,51,0.16033333,594
14,3,3,2,52,0.17433333,595
14,3,3,2,53,0.18133333,593
14,3,3,2,54,0.16833333,594
14,3,3,2,55,0.19433333,601
14,3,3,2,56,0.19833333,595
14,3,3,2,57,0.20533333,593
14,3,3,2,58,0.22133333,587
14,3,3,2,59,0.22433333,597
14,3,3,2,60,0.22133333,578
14,3,3,2,61,0.23733333,592
14,3,3,2,62,0.23933333,587
14,3,3,2,63,0.23833333,594
14,3,3,2,64,0.26633333,585
14,3,3,2,65,0.24833333,605
14,3,3,2,66,0.26333333,594
14,3,3,2,67,0.25833333,599
14,3,3,2,68,0.26733333,586
14,3,3,2,69,0.26633333,593
14,3,3,2,70,0.27433333,594
14,3,3,2,71,0.27033333,598
14,3,3,2,72,0.28133333,592
14,3,3,2,73,0.28333333,594
14,3,3,2,74,0.28733333,596
14,3,3,2,75,0.28433333,589
14,3,3,2,76,0.28733333,602
14,3,3,2,77,0.29833333,597
14,3,3,2,78,0.28533333,595
14,3,3,2,79,0.28533333,597
14,3,3,2,80,0.28833333,602
14,3,3,2,81,0.30933333,597
14,3,3,2,82,0.29433333,594
14,3,3,2,83,0.29533333,596
14,3,3,2,84,0.29633333,598
14,3,3,2,85,0.30633333,600
14,3,3,2,86,0.30133333,610
14,3,3,2,87,0.30733333,601
14,3,3,2,88,0.31333333,601
14,3,3,2,89,0.31933333,598
14,3,3,2,90,0.32133333,601
14,3,3,2,91,0.32433333,607
14,3,3,2,92,0.31533333,601
14,3,3,2,93,0.33333333,600
14,3,3,2,94,0.33133333,602
14,3,3,2,95,0.33133333,604
14,3,3,2,96,0.34233333,605
14,3,3,2,97,0.32733333,599
14,3,3,2,98,0.34133333,616
14,3,3,2,99,0.32033333,603
14,3,3,2,100,0.32133333,601
14,3,3,2,101,0.32833333,610
14,3,3,2,102,0.32533333,717
14,3,3,2,103,0.29233333,803
14,3,3,2,104,0.29733333,836
14,3,3,2,105,0.29233333,840
14,3,3,2,106,0.29433333,845
14,3,3,2,107,0.29133333,847
14,3,3,2,108,0.28633333,850
14,3,3,2,109,0.28733333,849
14,3,3,2,110,0.27233333,857
14,3,3,2,111,0.26733333,855
14,3,3,2,112,0.27633333,851
14,3,3,2,113,0.27133333,853
14,3,3,2,114,0.25733333,859
14,3,3,2,115,0.25533333,848
14,3,3,2,116,0.24033333,857
14,3,3,2,117,0.24033333,850
14,3,3,2,118,0.23833333,854
14,3,3,2,119,0.24133333,860
14,3,3,2,120,0.23233333,853
14,3,3,2,121,0.22333333,920
14,3,3,2,122,0.21033333,935
14,3,3,2,123,0.20633333,929
14,3,3,2,124,0.20033333,931
14,3,3,2,125,0.21133333,936
14,3,3,2,126,0.20133333,937
14,3,3,2,127,0.19133333,939
14,3,3,2,128,0.17233333,931
14,3,3,2,129,0.17533333,932
14,3,3,2,130,0.17333333,927
14,3,3,2,131,0.16033333,930
14,3,3,2,132,0.16533333,923
14,3,3,2,133,0.15633333,929
14,3,3,2,134,0.16733333,922
14,3,3,2,135,0.14233333,928
14,3,3,2,136,0.14433333,927
14,3,3,2,137,0.15233333,923
14,3,3,2,138,0.14533333,927
14,3,3,2,139,0.12833333,923
14,3,3,2,140,0.13033333,929
14,3,3,2,141,0.13433333,924
14,3,3,2,142,0.13333333,921
14,3,3,2,143,0.13433333,924
14,3,3,2,144,0.13633333,929
14,3,3,2,145,0.15133333,915
14,3,3,2,146,0.14833333,914
14,3,3,2,147,0.13533333,919
14,3,3,2,148,0.13633333,916
14,3,3,2,149,0.12733333,916
14,3,3,2,150,0.13233333,913
14,3,3,2,151,0.13133333,913
14,3,3,2,152,0.16033333,899
14,3,3,2,153,0.13033333,906
14,3,3,2,154,0.14333333,908
14,3,3,2,155,0.14033333,902
14,3,3,2,156,0.15433333,899
14,3,3,2,157,0.12933333,906
14,3,3,2,158,0.15033333,897
14,3,3,2,159,0.15133333,904
14,3,3,2,160,0.15133333,896
14,3,3,2,161,0.12433333,899
14,3,3,2,162,0.14233333,897
14,3,3,2,163,0.15533333,903
14,3,3,2,164,0.15733333,897
14,3,3,2,165,0.15733333,898
14,3,3,2,166,0.14733333,896
14,3,3,2,167,0.14533333,893
14,3,3,2,168,0.15533333,902
14,3,3,2,169,0.15633333,896
14,3,3,2,170,0.13533333,900
14,3,3,2,171,0.15033333,899
14,3,3,2,172,0.15733333,899
14,3,3,2,173,0.15633333,900
14,3,3,2,174,0.15233333,904
14,3,3,2,175,0.15733333,936
14,3,3,2,176,0.13333333,943
14,3,3,2,177,0.14433333,936
14,3,3,2,178,0.13833333,942
14,3,3,2,179,0.14133333,945
14,3,3,2,180,0.11833333,947
14,3,3,2,181,0.13533333,941
14,3,3,2,182,0.14133333,939
14,3,3,2,183,0.12433333,948
14,3,3,2,184,0.12233333,934
14,3,3,2,185,0.13033333,937
14,3,3,2,186,0.12233333,932
14,3,3,2,187,0.09933333,942
14,3,3,2,188,0.11233333,943
14,3,3,2,189,0.08933333,931
14,3,3,2,190,0.10033333,932
14,3,3,2,191,0.09433333,936
14,3,3,2,192,0.09733333,933
14,3,3,2,193,0.09733333,931
14,3,3,2,194,0.08833333,933
14,3,3,2,195,0.07233333,929
14,3,3,2,196,0.06333333,934
14,3,3,2,197,0.08833333,930
14,3,3,2,198,0.07133333,941
14,3,3,2,199,0.06933333,934
14,3,3,2,200,0.06833333,926
14,3,3,2,201,0.08433333,920
14,3,3,2,202,0.04533333,929
14,3,3,2,203,0.05133333,926
14,3,3,2,204,0.05433333,924
14,3,3,2,205,0.06033333,928
14,3,3,2,206,0.04933333,929
14,3,3,2,207,0.06133333,926
14,3,3,2,208,0.05833333,923
14,3,3,2,209,0.05733333,926
