id,id2,id3,trial,time,pupil,xcoord
14,3,3,1,-48,-0.05362500,924
14,3,3,1,-47,-0.03062500,932
14,3,3,1,-46,-0.02462500,920
14,3,3,1,-45,-0.01562500,1074
14,3,3,1,-44,-0.01562500,1260
14,3,3,1,-43,-0.00262500,1428
14,3,3,1,-42,0.00437500,1464
14,3,3,1,-41,0.00437500,1474
14,3,3,1,-40,0.00437500,1479
14,3,3,1,-39,0.01137500,1479
14,3,3,1,-38,0.00137500,1477
14,3,3,1,-37,0.02037500,1470
14,3,3,1,-36,-0.00662500,1479
14,3,3,1,-35,0.00237500,1465
14,3,3,1,-34,-0.00062500,1476
14,3,3,1,-33,-0.00062500,1471
14,3,3,1,-32,0.00337500,1467
14,3,3,1,-31,0.00437500,1476
14,3,3,1,-30,0.03437500,1481
14,3,3,1,-29,0.00537500,1470
14,3,3,1,-28,0.03437500,1486
14,3,3,1,-27,0.03637500,1478
14,3,3,1,-26,0.04437500,1475
14,3,3,1,-25,0.01737500,1474
14,3,3,1,-24,0.02337500,1474
14,3,3,1,-23,0.01537500,1424
14,3,3,1,-22,0.01037500,1183
14,3,3,1,-21,0.00037500,1023
14,3,3,1,-20,-0.01762500,921
14,3,3,1,-19,-0.02362500,933
14,3,3,1,-18,-0.01862500,913
14,3,3,1,-17,-0.00362500,919
14,3,3,1,-16,-0.01362500,918
14,3,3,1,-15,-0.01062500,923
14,3,3,1,-14,0.00937500,911
14,3,3,1,-13,-0.00062500,925
14,3,3,1,-12,-0.00362500,914
14,3,3,1,-11,0.00837500,913
14,3,3,1,-10,-0.01462500,922
14,3,3,1,-9,-0.00362500,913
14,3,3,1,-8,-0.01862500,907
14,3,3,1,-7,-0.01462500,913
14,3,3,1,-6,-0.00562500,917
14,3,3,1,-5,-0.00762500,910
14,3,3,1,-4,0.00937500,912
14,3,3,1,-3,-0.00162500,919
14,3,3,1,-2,-0.00462500,916
14,3,3,1,-1,0.00837500,922
14,3,3,1,0,-0.00262500,914
14,3,3,1,1,-0.01062500,909
14,3,3,1,2,-0.01562500,909
14,3,3,1,3,-0.00162500,913
14,3,3,1,4,-0.00962500,907
14,3,3,1,5,0.00337500,903
14,3,3,1,6,-0.02562500,899
14,3,3,1,7,-0.01862500,913
14,3,3,1,8,-0.03062500,736
14,3,3,1,9,-0.03662500,616
14,3,3,1,10,-0.04262500,528
14,3,3,1,11,-0.03962500,537
14,3,3,1,12,-0.04462500,534
14,3,3,1,13,-0.02562500,543
14,3,3,1,14,-0.05862500,525
14,3,3,1,15,-0.04362500,537
14,3,3,1,16,-0.06162500,529
